data,ticker,preco_fechamento_ajustado,volume_negociado,m_6,dy
2019-04-30,AALR3,14.87,2569789.0,1773209312.0,0.0056396817111407605
2019-05-31,AALR3,13.9,1586619.0,1658465280.0,0.006029873669757489
2019-06-30,AALR3,14.3,10832812.0,1705782407.0,0.005862609490291262
2019-07-31,AALR3,14.67,2810704.0,1749550749.0,0.00571594515551048
2019-08-31,AALR3,18.99,4488459.0,2265307426.0,0.004414560253263707
2019-09-30,AALR3,19.09,2138376.0,2277136708.0,0.004391627472727273
2019-10-31,AALR3,17.95,2187648.0,2141099970.0,0.004670653527624309
2019-11-30,AALR3,18.54,3491698.0,2210892731.0,0.004523211816479401
2019-12-31,AALR3,18.01,6683463.0,2148197539.0,0.004655221852973568
2020-01-31,AALR3,20.85,10443252.0,2486514992.0,0.004021828204091342
2020-02-29,AALR3,18.7,7727571.0,2229819582.0,0.004484818506631299
2020-03-31,AALR3,8.93,5112705.0,1064635344.0,0.009393203205555554
2020-04-30,AALR3,10.49,6675878.0,1240891640.0,0.008321978460438513
2020-05-31,AALR3,10.2,12307047.0,1206586723.0,0.008558583730392158
2020-06-30,AALR3,10.29,8001607.0,1217233077.0,0.008483727312925172
2020-07-31,AALR3,11.36,10699641.0,1343806390.0,0.007684643842429578
2020-08-31,AALR3,11.99,5843390.0,1418330864.0,0.007280863557130942
2020-09-30,AALR3,10.15,3763596.0,1200672082.0,0.008600744241379311
2020-10-31,AALR3,9.68,5108582.0,1145074459.0,0.00901834236053719
2020-11-30,AALR3,10.84,4815164.0,1282294125.0,0.00805327989391144
2020-12-31,AALR3,11.1,3639217.0,1313050258.0,0.007864644509009009
2021-01-31,AALR3,10.69,3089362.0,1264550203.0,0.008166281950420955
2021-02-28,AALR3,9.01,8184369.0,1065818272.0,0.0096889627136515
2021-03-31,AALR3,9.0,3777238.0,1064635344.0,0.009699728227777779
2021-04-30,AALR3,8.84,5751637.0,1045708493.0,0.0
2021-05-31,AALR3,12.27,34308663.0,1451452852.0,0.0
2021-06-30,AALR3,11.76,26388985.0,1391123516.0,0.0
2021-07-31,AALR3,10.14,6605089.0,1199489154.0,0.0
2021-08-31,AALR3,12.66,59996982.0,1497587051.0,0.0
2021-09-30,AALR3,11.55,7358156.0,1366282025.0,0.0
2021-10-31,AALR3,14.8,10971561.0,1750733677.0,0.0
2021-11-30,AALR3,18.5,21903202.0,2188417096.0,0.0
2021-12-31,AALR3,14.97,16435170.0,1770843456.0,0.0
2022-01-31,AALR3,16.5,7399741.0,1951831464.0,0.0
2022-02-28,AALR3,16.95,8184943.0,2005063231.0,0.0
2022-03-31,AALR3,17.95,7540347.0,2123356047.0,0.0
2022-04-30,AALR3,19.41,14055007.0,2296063559.0,0.0
2022-05-31,AALR3,20.01,9986892.0,2367039248.0,0.0
2022-06-30,AALR3,19.51,10370166.0,2307892840.0,0.0
2022-07-31,AALR3,20.59,6754188.0,2435649081.0,0.0
2022-08-31,AALR3,20.1,3090715.0,2377685602.0,0.0
2022-09-30,AALR3,20.98,3670541.0,2481783280.0,0.0
